id,first_name,last_name,position,height,weight,jersey_number,college,country,draft_year,draft_round,draft_number,team_id,team_abbreviation,team_city,team_name,team_conference,team_division
378,Kristaps,Porzingis,F-C,7-2,240,8,Cajasol Sevilla,Latvia,2015.0,1.0,4.0,1,ATL,Atlanta,Hawks,East,Southeast
379,Dwight,Powell,F-C,6-10,240,7,Stanford,Canada,2014.0,2.0,45.0,7,DAL,Dallas,Mavericks,West,Southwest
380,Norman,Powell,F-G,6-3,215,24,UCLA,USA,2015.0,2.0,46.0,16,MIA,Miami,Heat,East,Southeast
381,Alex,Poythress,F,6-9,235,22,Kentucky,USA,,,,12,IND,Indiana,Pacers,East,Central
382,Billy,Preston,F,,,,,,,,,6,CLE,Cleveland,Cavaliers,East,Central
383,Taurean,Prince,F,6-6,218,12,Baylor,USA,2016.0,1.0,12.0,17,MIL,Milwaukee,Bucks,East,Central
384,Zhou,Qi,F-C,7-1,210,9,Xinjiang,China,2016.0,2.0,43.0,11,HOU,Houston,Rockets,West,Southwest
385,Ivan,Rabb,F,6-10,220,10,California,USA,2017.0,2.0,35.0,15,MEM,Memphis,Grizzlies,West,Southwest
386,Chasson,Randle,G,6-2,185,25,Stanford,USA,2015.0,,,8,DEN,Denver,Nuggets,West,Northwest
387,Julius,Randle,F,6-9,250,30,Kentucky,USA,2014.0,1.0,7.0,18,MIN,Minnesota,Timberwolves,West,Northwest
388,Zach,Randolph,F,6-9,250,50,Michigan State,USA,2001.0,1.0,19.0,15,MEM,Memphis,Grizzlies,West,Southwest
389,JJ,Redick,G,6-3,200,17,Duke,USA,2006.0,1.0,11.0,23,PHI,Philadelphia,76ers,East,Atlantic
390,Davon,Reed,G,6-5,206,9,Miami,USA,2017.0,2.0,32.0,8,DEN,Denver,Nuggets,West,Northwest
391,Josh,Richardson,G-F,6-5,200,0,Tennessee,USA,2015.0,2.0,40.0,16,MIA,Miami,Heat,East,Southeast
392,Malachi,Richardson,G,6-6,205,22,Syracuse,USA,2016.0,1.0,22.0,26,SAC,Sacramento,Kings,West,Pacific
393,Austin,Rivers,G,6-4,200,25,Duke,USA,2012.0,1.0,10.0,18,MIN,Minnesota,Timberwolves,West,Northwest
394,Andre,Roberson,G-F,6-7,210,21,Colorado,USA,2013.0,1.0,26.0,21,OKC,Oklahoma City,Thunder,West,Northwest
395,Glenn,Robinson III,G-F,6-6,222,40,Michigan,USA,2014.0,2.0,40.0,12,IND,Indiana,Pacers,East,Central
396,Devin,Robinson,F,6-8,200,7,Florida,USA,2017.0,,,30,WAS,Washington,Wizards,East,Southeast
397,Duncan,Robinson,F,6-7,215,55,Michigan,USA,,,,9,DET,Detroit,Pistons,East,Central
398,Jerome,Robinson,G,6-5,190,18,Boston College,USA,2018.0,1.0,13.0,10,GSW,Golden State,Warriors,West,Pacific
399,Mitchell,Robinson,C,7-0,240,23,Western Kentucky,USA,2018.0,2.0,36.0,20,NYK,New York,Knicks,East,Atlantic
400,Rajon,Rondo,G,6-1,180,1,Kentucky,USA,2006.0,1.0,21.0,6,CLE,Cleveland,Cavaliers,East,Central
