id,first_name,last_name,position,height,weight,jersey_number,college,country,draft_year,draft_round,draft_number,team_id,team_abbreviation,team_city,team_name,team_conference,team_division
223,Serge,Ibaka,F-C,6-10,235,25,Ricoh Manresa,Democratic Republic of the Congo,2008.0,1.0,24.0,17,MIL,Milwaukee,Bucks,East,Central
224,Andre,Iguodala,G-F,6-6,215,9,Arizona,USA,2004.0,1.0,9.0,10,GSW,Golden State,Warriors,West,Pacific
225,Ersan,Ilyasova,F,6-9,235,77,FC Barcelona,Turkey,2005.0,2.0,36.0,17,MIL,Milwaukee,Bucks,East,Central
226,Joe,Ingles,F,6-8,220,7,Maccabi Tel Aviv,Australia,,,,18,MIN,Minnesota,Timberwolves,West,Northwest
227,Brandon,Ingram,F,6-8,190,3,Duke,USA,2016.0,1.0,2.0,28,TOR,Toronto,Raptors,East,Atlantic
228,Kyrie,Irving,G,6-2,195,11,Duke,Australia,2011.0,1.0,1.0,7,DAL,Dallas,Mavericks,West,Southwest
229,Jonathan,Isaac,F,6-10,230,1,Florida State,USA,2017.0,1.0,6.0,22,ORL,Orlando,Magic,East,Southeast
230,Wes,Iwundu,F,6-6,195,4,Kansas State,USA,2017.0,2.0,33.0,25,POR,Portland,Trail Blazers,West,Northwest
231,Jaren,Jackson Jr.,F-C,6-10,242,8,Michigan State,USA,2018.0,1.0,4.0,15,MEM,Memphis,Grizzlies,West,Southwest
232,Demetrius,Jackson,G,6-1,201,11,Notre Dame,USA,2016.0,2.0,45.0,11,HOU,Houston,Rockets,West,Southwest
233,Frank,Jackson,G,6-3,205,5,Duke,USA,2017.0,2.0,31.0,24,PHX,Phoenix,Suns,West,Pacific
234,Josh,Jackson,F,6-8,207,55,Kansas,USA,2017.0,1.0,4.0,28,TOR,Toronto,Raptors,East,Atlantic
235,Justin,Jackson,F,6-8,220,44,North Carolina,USA,2017.0,1.0,15.0,18,MIN,Minnesota,Timberwolves,West,Northwest
236,Reggie,Jackson,G,6-2,208,7,Boston College,USA,2011.0,1.0,24.0,23,PHI,Philadelphia,76ers,East,Atlantic
237,LeBron,James,F,6-9,250,23,St. Vincent-St. Mary HS (OH),USA,2003.0,1.0,1.0,14,LAL,Los Angeles,Lakers,West,Pacific
238,Amile,Jefferson,F,6-9,222,11,Duke,USA,2017.0,,,22,ORL,Orlando,Magic,East,Southeast
239,Jonas,Jerebko,F,6-10,231,21,Angelico Biella,Sweden,2009.0,2.0,39.0,9,DET,Detroit,Pistons,East,Central
240,Alize,Johnson,F,6-7,212,24,Missouri State,USA,2018.0,2.0,50.0,18,MIN,Minnesota,Timberwolves,West,Northwest
241,Amir,Johnson,C-F,6-9,240,5,Westchester HS (CA),USA,2005.0,2.0,56.0,28,TOR,Toronto,Raptors,East,Atlantic
242,James,Johnson,F,6-7,240,16,Wake Forest,USA,2009.0,1.0,16.0,12,IND,Indiana,Pacers,East,Central
243,Stanley,Johnson,F,6-6,242,14,Arizona,USA,2015.0,1.0,8.0,29,UTA,Utah,Jazz,West,Northwest
244,Tyler,Johnson,G,6-3,186,10,Fresno State,USA,,,,27,SAS,San Antonio,Spurs,West,Southwest
245,Wesley,Johnson,F-G,6-7,215,4,Syracuse,USA,2010.0,1.0,4.0,13,LAC,LA,Clippers,West,Pacific
246,Nikola,Jokic,C,6-11,284,15,Mega Basket,Serbia,2014.0,2.0,41.0,8,DEN,Denver,Nuggets,West,Northwest
247,Derrick,Jones Jr.,F-G,6-6,210,5,UNLV,USA,,,,13,LAC,LA,Clippers,West,Pacific
